epoch,val_accuracy,val_loss
1,0.9493265151977539,0.19658225774765015
2,0.9518922567367554,0.20182384550571442
3,0.9506093859672546,0.2118200957775116
4,0.9499679803848267,0.21914663910865784
5,0.9499679803848267,0.22566109895706177
6,0.9499679803848267,0.23264865577220917
7,0.9506093859672546,0.2365163266658783
8,0.9499679803848267,0.24683083593845367
9,0.9499679803848267,0.246943861246109
10,0.9506093859672546,0.25188547372817993
11,0.9512508511543274,0.2586270868778229
12,0.9506093859672546,0.26189863681793213
13,0.9499679803848267,0.2639922797679901
14,0.9499679803848267,0.2674095630645752
15,0.9512508511543274,0.2721216380596161
16,0.9499679803848267,0.2753959596157074
17,0.9512508511543274,0.2786567807197571
