epoch,val_accuracy,val_loss
1,0.9550994634628296,0.186687633395195
2,0.9557408690452576,0.19157740473747253
3,0.9550994634628296,0.20051492750644684
4,0.9538165926933289,0.206947922706604
5,0.9538165926933289,0.21159245073795319
6,0.9550994634628296,0.21605761349201202
7,0.9550994634628296,0.22098352015018463
8,0.9538165926933289,0.22605770826339722
9,0.9550994634628296,0.22852545976638794
10,0.9550994634628296,0.23143360018730164
11,0.9550994634628296,0.23646938800811768
12,0.9544579982757568,0.24045945703983307
13,0.9557408690452576,0.2420843541622162
14,0.9557408690452576,0.2445126175880432
15,0.9557408690452576,0.24795818328857422
16,0.9550994634628296,0.24974726140499115
17,0.9550994634628296,0.2534008324146271
