epoch,val_accuracy,val_loss
1,0.9525337219238281,0.16910061240196228
2,0.9544579982757568,0.14740124344825745
3,0.9544579982757568,0.14243768155574799
4,0.9544579982757568,0.14101646840572357
5,0.9544579982757568,0.1408543437719345
6,0.9544579982757568,0.14129842817783356
7,0.9544579982757568,0.14173623919487
8,0.9538165926933289,0.14262977242469788
9,0.9538165926933289,0.1434733122587204
10,0.9544579982757568,0.14445766806602478
11,0.9544579982757568,0.14503198862075806
12,0.9538165926933289,0.14616507291793823
13,0.9544579982757568,0.14695721864700317
14,0.9544579982757568,0.14778505265712738
15,0.9544579982757568,0.14856421947479248
16,0.9544579982757568,0.1494588702917099
17,0.9550994634628296,0.15013611316680908
18,0.9544579982757568,0.15115350484848022
19,0.9531751275062561,0.1521708369255066
20,0.9550994634628296,0.15241245925426483
21,0.9538165926933289,0.1532619595527649
22,0.9538165926933289,0.15419624745845795
23,0.9531751275062561,0.1547025889158249
24,0.9538165926933289,0.15547919273376465
25,0.9538165926933289,0.15603162348270416
26,0.9538165926933289,0.1567433923482895
27,0.9544579982757568,0.1569477617740631
28,0.9538165926933289,0.15757004916667938
29,0.9538165926933289,0.15863503515720367
30,0.9538165926933289,0.15915824472904205
31,0.9538165926933289,0.159981369972229
32,0.9538165926933289,0.16036854684352875
